1668657628.822863000	2462	-76	a4:87:66:09:27:d1	ff:7f:79:fb:7f:77	1729		db:ff:ff:ff:ff:ff
1668657628.824369000	2412	-85	4e:c1:a0:ec:50:c8	ff:ff:ff:ff:ff:ff	3796	UWS	ff:ff:ff:ff:ff:ff
1668657628.864526000	2412	-31	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1730		ff:ff:ff:ff:ff:ff
1668657628.864545000	2437	-43	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1730		ff:ff:ff:ff:ff:ff
1668657628.866655000	2412	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1731		ff:ff:ff:ff:ff:ff
1668657628.866675000	2437	-42	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1731		ff:ff:ff:ff:ff:ff
1668657628.872075000	2437	-83	26:16:c8:79:65:50	ff:ff:ff:ff:ff:ff	2397		a0:f8:0e:51:05:4f
1668657628.879194000	2437	-78	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1732		ff:ff:ff:ff:ff:ff
1668657628.881297000	2412	-36	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1733		ff:ff:ff:ff:ff:ff
1668657628.881317000	2437	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1733		ff:ff:ff:ff:ff:ff
1668657628.895362000	2462	-91	4e:c1:a0:ec:50:c8	dd:2c:fd:7b:54:e6	3799	UWS	ff:ff:ff:ff:ff:ff
1668657628.923185000	2437	-27	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1734		ff:ff:ff:ff:ff:ff
1668657628.923206000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1734		ff:ff:ff:ff:ff:ff
1668657628.923221000	2412	-49	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1734		ff:ff:ff:ff:ff:ff
1668657628.925351000	2412	-51	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1735		ff:ff:ff:ff:ff:ff
1668657628.925371000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1735		ff:ff:ff:ff:ff:ff
1668657628.928599000	2462	-90	4e:c1:a0:ec:50:c8	ff:ff:ff:ff:ff:ff	3800	UWS	ff:ff:ff:ff:ff:ff
1668657628.987353000	2412	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1736		ff:ff:ff:ff:ff:ff
1668657628.987373000	2462	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1736		ff:ff:ff:ff:ff:ff
1668657628.989571000	2462	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1737		ff:ff:ff:ff:ff:ff
1668657629.031631000	2437	-19	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1738		ff:ff:ff:ff:ff:ff
1668657629.031651000	2462	-60	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1738		ff:ff:ff:ff:ff:ff
1668657629.034055000	2462	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1739		ff:ff:ff:ff:ff:ff
1668657629.034076000	2412	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1739		ff:ff:ff:ff:ff:ff
1668657629.034092000	2437	-17	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1739		ff:ff:ff:ff:ff:ff
1668657629.075357000	2412	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1740		ff:ff:ff:ff:ff:ff
1668657629.075377000	2437	-20	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1740		ff:ff:ff:ff:ff:ff
1668657629.075392000	2462	-51	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1740		ff:ff:ff:ff:ff:ff
1668657629.078056000	2412	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1741		ff:ff:ff:ff:ff:ff
1668657629.078076000	2437	-20	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1741		ff:ff:ff:ff:ff:ff
