1668654024.280550000	2437	-85	48:ad:65:e6:3e:8a	ff:ff:ff:7f:fe:85	534		cf:b3:11:11:1d:3f
1668654024.342583000	2437	-82	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	2008		ff:ff:ff:ff:ff:ff
1668654024.344758000	2437	-82	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	2009		ff:ff:ff:ff:ff:ff
1668654024.347076000	2437	-81	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	2010		ff:ff:ff:ff:ff:ff
1668654024.406072000	2437	-83	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	2011		ff:ff:ff:ff:ff:ff
1668654024.408300000	2437	-83	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	2012		ff:ff:ff:ff:ff:ff
1668654024.675654000	2462	-83	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	2023		ff:ff:ff:ff:ff:ff
1668654024.677904000	2462	-82	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	2024		ff:ff:ff:ff:ff:ff
1668654024.681752000	2462	-82	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	2025		ff:ff:ff:ff:ff:ff
1668654026.379893000	2412	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	610		ff:ff:ff:ff:ff:ff
1668654026.379913000	2437	-50	b2:87:66:09:27:91	6e:cd:f7:6e:ff:ff	610		ff:ff:ff:ff:ff:ff
1668654026.379928000	2462	-76	b2:87:fb:e2:a6:95	ff:ff:ff:ff:ff:ff	1220	\b\f$20H`l	ff:ff:ff:bf:b2:ff
1668654026.381940000	2412	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	611		ff:ff:ff:ff:ff:ff
1668654026.381960000	2437	-50	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	611		ff:ff:ff:ff:ff:ff
1668654026.381976000	2462	-78	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	611		ff:ff:ff:ff:ff:ff
1668654026.423391000	2412	-31	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	612		ff:ff:ff:ff:ff:ff
1668654026.423411000	2437	-44	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	612		ff:ff:ff:ff:ff:ff
1668654026.423427000	2462	-74	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	612		ff:ff:ff:ff:ff:ff
1668654026.425578000	2412	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	613		ff:ff:ff:ff:ff:ff
1668654026.467324000	2437	-77	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	614		ff:ff:ff:ff:ff:ff
1668654026.469566000	2437	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	615		ff:ff:ff:ff:ff:ff
1668654026.469586000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	615		ff:ff:ff:ff:ff:ff
1668654026.482014000	2412	-50	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	616		ff:ff:ff:ff:ff:ff
1668654026.482034000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	616		ff:ff:ff:ff:ff:ff
1668654026.484212000	2412	-49	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	617		ff:ff:ff:ff:ff:ff
1668654026.484232000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	617		ff:ff:ff:ff:ff:ff
1668654026.496685000	2412	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	618		ff:ff:ff:ff:ff:ff
1668654026.496705000	2437	-22	bc:e0:7d:9a:2e:50	7f:37:d3:6f:b7:3b	2361		fb:ff:ff:ff:ff:7f
1668654026.498865000	2412	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	619		ff:ff:ff:ff:ff:ff
1668654026.498885000	2437	-20	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	619		ff:ff:ff:ff:ff:ff
1668654026.498902000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	619		ff:ff:ff:ff:ff:ff
1668654026.511417000	2412	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	620		ff:ff:ff:ff:ff:ff
1668654026.511437000	2437	-19	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	620		ff:ff:ff:ff:ff:ff
1668654026.511453000	2462	-60	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	620		ff:ff:ff:ff:ff:ff
1668654026.515791000	2412	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	621		ff:ff:ff:ff:ff:ff
1668654026.515811000	2437	-19	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	621		ff:ff:ff:ff:ff:ff
1668654026.515825000	2462	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	621		ff:ff:ff:ff:ff:ff
1668654026.575613000	2412	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	622		ff:ff:ff:ff:ff:ff
1668654026.575633000	2437	-19	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	622		ff:ff:ff:ff:ff:ff
1668654026.575648000	2462	-50	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	622		ff:ff:ff:ff:ff:ff
1668654026.577770000	2412	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	623		ff:ff:ff:ff:ff:ff
1668654026.577790000	2437	-18	b2:43:2c:09:27:11	ff:ff:ff:ff:ff:ff	7		97:f4:ff:dd:0d:f8
1668654026.577805000	2462	-51	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	623		ff:ff:ff:ff:ff:ff
1668654026.639843000	2412	-79	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	624		ff:ff:ff:ff:ff:ff
1668654026.639863000	2437	-28	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	624		ff:ff:ff:ff:ff:ff
1668654026.639879000	2462	-46	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	624		ff:ff:ff:ff:ff:ff
1668654026.642356000	2462	-46	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	625		ff:ff:ff:ff:ff:ff
1668654026.685882000	2437	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	627		ff:ff:ff:ff:ff:ff
1668654026.727867000	2462	-25	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	628		ff:ff:ff:ff:ff:ff
1668654026.727887000	2437	-46	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	628		ff:ff:ff:ff:ff:ff
1668654026.729988000	2437	-49	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	629		ff:ff:ff:ff:ff:ff
1668654026.730007000	2462	-25	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	629		ff:ff:ff:ff:ff:ff
1668654026.742411000	2412	-77	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	630		ff:ff:ff:ff:ff:ff
1668654026.742431000	2437	-54	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	630		ff:ff:ff:ff:ff:ff
1668654026.745163000	2437	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	631		ff:ff:ff:ff:ff:ff
1668654026.745183000	2462	-24	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	631		ff:ff:ff:ff:ff:ff
1668654026.786793000	2412	-79	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	634		ff:ff:ff:ff:ff:bf
1668654026.786813000	2437	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	632		ff:ff:ff:ff:ff:ff
1668654026.786829000	2462	-77	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	632		ff:ff:ff:ff:ff:ff
1668654026.789145000	2412	-79	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	633		ff:ff:ff:ff:ff:ff
1668654026.789165000	2437	-60	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	633		ff:ff:ff:ff:ff:ff
1668654026.789180000	2462	-25	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	633		ff:ff:ff:ff:ff:ff
1668654026.830534000	2462	-79	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	634		ff:ff:ff:ff:ff:ff
1668654026.832608000	2437	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	635		ff:ff:ff:ff:ff:ff
1668654029.169852000	2412	-28	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	648		ff:ff:ff:ff:ff:ff
1668654029.169871000	2437	-49	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	168		ff:ff:bf:9b:db:ff
1668654029.169887000	2462	-77	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	648		ff:ff:ff:ff:ff:ff
1668654029.172050000	2412	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	649		ff:ff:ff:ff:ff:ff
1668654029.172070000	2437	-49	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	649		ff:ff:ff:ff:ff:ff
1668654029.172086000	2462	-77	e4:83:90:33:5b:bc	ff:ff:ff:ff:ff:57	649		80:ed:fb:ff:ff:ff
1668654029.212900000	2437	-77	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	650		ff:ff:ff:ff:ff:ff
1668654029.212920000	2412	-31	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	650		ff:ff:ff:ff:ff:ff
1668654029.214995000	2412	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	651		ff:ff:ff:ff:ff:ff
1668654029.215015000	2437	-44	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	651		ff:ff:ff:ff:ff:ff
1668654029.227450000	2437	-77	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	652		ff:ff:ff:ff:ff:ff
1668654029.227470000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	652		ff:ff:ff:ff:ff:ff
1668654029.229625000	2437	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	653		ff:ff:ff:ff:ff:ff
1668654029.229645000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	653		ff:ff:ff:ff:ff:ff
1668654029.271529000	2437	-28	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	654		ff:ff:ff:ff:ff:ff
1668654029.271549000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	654		ff:ff:ff:ff:ff:ff
1668654029.271565000	2412	-49	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	654		ff:ff:ff:ff:ff:ff
1668654029.273721000	2412	-50	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	655		ff:ff:ff:ff:ff:ff
1668654029.273741000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	655		ff:ff:ff:ff:ff:ff
1668654029.286153000	2412	-54	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	656		ff:ff:ff:ff:ff:ff
1668654029.286173000	2437	-22	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	656		ff:ff:ff:ff:ff:ff
1668654029.286188000	2462	-60	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	656		ff:ff:ff:ff:ff:ff
1668654029.288528000	2412	-54	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	657		ff:ff:ff:ff:ff:ff
1668654029.288548000	2437	-20	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	657		ff:ff:ff:ff:ff:ff
1668654029.288564000	2462	-60	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	657		ff:ff:ff:ff:ff:ff
1668654029.330127000	2412	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	658		ff:ff:ff:ff:ff:ff
1668654029.330147000	2437	-18	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	658		ff:ff:ff:ff:ff:ff
1668654029.330162000	2462	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	658		ff:ff:ff:ff:ff:ff
1668654029.332206000	2412	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	659		ff:ff:ff:ff:ff:ff
1668654029.332226000	2437	-18	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	659		ff:ff:ff:ff:ff:ff
1668654029.332242000	2462	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	659		ff:ff:ff:ff:ff:ff
1668654029.374119000	2437	-72	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	660		ff:ff:ff:ff:ff:ff
1668654029.374138000	2412	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	660		ff:ff:ff:ff:ff:ff
1668654029.376332000	2412	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	661		ff:ff:ff:ff:ff:ff
