1668970845.143360000	2437	-49	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	254		ff:ff:ff:ff:ff:ff
1668970845.143379000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	254		ff:ff:ff:ff:ff:ff
1668970845.157936000	2412	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	256		ff:ff:ff:ff:ff:ff
1668970845.157956000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	256		ff:ff:ff:ff:ff:ff
1668970845.160005000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	257		ff:ff:ff:ff:ff:ff
1668970845.172591000	2412	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	258		ff:ff:ff:ff:ff:ff
1668970845.172611000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	258		ff:ff:ff:ff:ff:ff
1668970845.172627000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	258		ff:ff:ff:ff:ff:ff
1668970845.174860000	2412	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	259		ff:ff:ff:ff:ff:ff
1668970845.174880000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	259		ff:ff:ff:ff:ff:ff
1668970845.216665000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	260		ff:ff:ff:ff:ff:ff
1668970845.216700000	2412	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	260		ff:ff:ff:ff:ff:ff
1668970845.219036000	2412	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	261		ff:ff:ff:ff:ff:ff
1668970845.219056000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	261		ff:ff:ff:ff:ff:ff
1668970845.219071000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	261		ff:ff:ff:ff:ff:ff
1668970845.260890000	2462	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	262		ff:ff:ff:ff:ff:ff
1668970845.260909000	2412	-73	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	262		ff:ff:ff:ff:ff:ff
1668970845.260924000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	262		ff:ff:ff:ff:ff:ff
1668970845.263056000	2412	-77	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	263		ff:ff:ff:ff:ff:ff
1668970845.319608000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	266		ff:ff:ff:ff:ff:ff
1668970845.363617000	2437	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	268		ff:ff:ff:ff:ff:ff
1668970845.363636000	2462	-31	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	268		ff:ff:ff:ff:ff:ff
1668970845.365705000	2437	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	269		ff:ff:ff:ff:ff:ff
1668970845.427722000	2437	-70	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	270		ff:ff:ff:ff:ff:ff
1668970845.427742000	2462	-28	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	270		ff:ff:ff:ff:ff:ff
1668970845.427757000	2412	-79	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	270		ff:ff:ff:ff:ff:ff
1668970845.429813000	2437	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	271		ff:ff:ff:ff:ff:ff
1668970845.429832000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	271		ff:ff:ff:ff:ff:ff
1668970845.474636000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	273		ff:ff:ff:ff:ff:ff
1668970845.538281000	2412	-87	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	275		ff:ff:ff:ff:ff:ff
1668970845.782440000	2412	-89	ac:b5:7d:e6:7a:f2	ff:ff:ff:ff:ff:ff	748		ff:ff:ff:ff:ff:ff
