1668682829.366588000	2462	-37	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	845		ff:ff:ff:ff:ff:ff
1668682829.368692000	2412	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1869		ff:ff:ff:ff:ff:ff
1668682829.368712000	2437	-20	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1869		ff:ff:ff:ff:ff:ff
1668682829.368728000	2462	-50	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1869		ff:ff:ff:ff:ff:ff
1668682829.401264000	2462	-35	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	846	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668682829.402695000	2437	-74	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	847	5099251212	ff:ff:ff:ff:ff:ff
1668682829.402715000	2462	-36	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	847	5099251212	ff:ff:ff:ff:ff:ff
1668682829.404687000	2437	-71	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	848		ff:ff:ff:ff:ff:ff
1668682829.404707000	2462	-35	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	848		ff:ff:ff:ff:ff:ff
1668682829.425486000	2412	-77	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1870		ff:ff:ff:ff:ff:ff
1668682829.425506000	2462	-46	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1870		ff:ff:ff:ff:ff:ff
1668682829.469485000	2437	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1872		ff:ff:ff:ff:ff:ff
1668682829.471562000	2437	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1873		ff:ff:ff:ff:ff:ff
1668682829.513612000	2437	-47	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1874		ff:ff:ff:ff:ff:ff
1668682829.513632000	2462	-26	f6:41:8c:9f:21:91	7f:eb:5c:b6:37:b7	1874		ff:ff:ff:ff:ff:ff
1668682829.515771000	2437	-47	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1875		ff:ff:ff:ff:ff:ff
1668682829.515791000	2462	-24	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1875		ff:ff:ff:ff:ff:ff
1668682829.557592000	2437	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1876		ff:ff:ff:ff:ff:ff
1668682829.557612000	2462	-22	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1876		ff:ff:ff:ff:ff:ff
1668682829.559933000	2462	-23	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1877		ff:ff:ff:ff:ff:ff
1668682829.601602000	2437	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1878		ff:ff:ff:ff:ff:ff
