1668855634.512615000	2437	-24	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2883	5099251212	ff:ff:ff:ff:ff:ff
1668855634.514392000	2437	-23	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2884		ff:ff:ff:ff:ff:ff
1668855634.551622000	2437	-23	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2885	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668855634.553021000	2437	-24	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2886	5099251212	ff:ff:ff:ff:ff:ff
1668855634.554897000	2437	-24	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2887		ff:ff:ff:ff:ff:ff
1668855634.593695000	2437	-21	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2888	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668855634.595097000	2437	-27	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2889	5099251212	ff:ff:ff:ff:ff:ff
1668855634.597270000	2437	-27	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2890		ff:ff:ff:ff:ff:ff
1668855634.633377000	2437	-22	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2891	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668855634.634848000	2437	-26	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2892	5099251212	ff:ff:ff:ff:ff:ff
1668855634.636594000	2437	-21	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2893		ff:ff:ff:ff:ff:ff
1668855634.675197000	2437	-26	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2894	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668855634.676594000	2437	-26	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2895	5099251212	ff:ff:ff:ff:ff:ff
1668855634.677945000	2412	-80	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2896		ff:ff:ff:ff:ff:ff
1668855634.677964000	2437	-28	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2896		ff:ff:ff:ff:ff:ff
1668855634.715103000	2437	-29	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2897	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668855634.716524000	2412	-80	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2898	5099251212	ff:ff:ff:ff:ff:ff
1668855634.716544000	2437	-29	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2898	5099251212	ff:ff:ff:ff:ff:ff
1668855634.717921000	2437	-29	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2899		ff:ff:ff:ff:ff:ff
1668855634.885188000	2462	-48	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2910	5099251212	ff:ff:ff:ff:ff:ff
1668855634.921348000	2462	-40	e8:50:8b:43:b1:20	6e:4c:fe:ff:ff:ff	2912	BELL_WIFI	ff:ff:ff:ff:ff:ff
