1668920429.684510000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3961		ff:ff:ff:ff:ff:ff
1668920429.688365000	2437	-91	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	27		ff:ff:ff:ff:ff:ff
1668920430.323415000	2437	-91	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	49		ff:ff:ff:ff:ff:ff
1668920430.948184000	2437	-93	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	12		ff:ff:ff:ff:ff:ff
1668920431.428434000	2437	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	32		ff:ff:ff:ff:ff:ff
1668920431.908661000	2437	-86	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	52		ff:ff:ff:ff:ff:ff
1668920435.709214000	2412	-89	f4:43:8b:55:aa:d8	21:6d:36:0c:3c:6f	942		ce:64:cb:c4:73:f8
1668920436.668080000	2462	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	1	SHAW-EED3BA	ff:ff:ff:ff:ff:ff
1668920437.567433000	2437	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	35	SHAW-EED3BA	ff:ff:ff:ff:ff:ff
1668920437.736814000	2412	-55	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1984		ff:ff:ff:ff:ff:ff
1668920437.738837000	2412	-56	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1985		ff:ff:ff:ff:ff:ff
