1668898826.377067000	2412	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	876		ff:ff:ff:ff:ff:ff
1668898826.377087000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	876		ff:ff:ff:ff:ff:ff
1668898826.379166000	2412	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	877		ff:ff:ff:ff:ff:ff
1668898826.379186000	2437	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	877		ff:ff:ff:ff:ff:ff
1668898826.379202000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	877		ff:ff:ff:ff:ff:ff
1668898826.400819000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	878		ff:ff:ff:ff:ff:ff
1668898826.400838000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	878		ff:ff:ff:ff:ff:ff
1668898826.402996000	2412	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	879		ff:ff:ff:ff:ff:ff
1668898826.403016000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	879		ff:ff:ff:ff:ff:ff
1668898826.403031000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	879		ff:ff:ff:ff:ff:ff
1668898826.415517000	2462	-61	23:87:46:39:26:11	ff:ff:ff:ff:ff:ff	880		b7:ff:ff:ff:ff:ff
1668898826.415537000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	880		ff:ff:ff:ff:ff:ff
1668898826.417624000	2412	-71	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	881		ff:ff:ff:ff:ff:ff
1668898826.417643000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	881		ff:ff:ff:ff:ff:ff
1668898826.417659000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	881		ff:ff:ff:ff:ff:ff
1668898826.459501000	2412	-75	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	882		ff:ff:ff:ff:ff:ff
1668898826.459520000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	882		ff:ff:ff:ff:ff:ff
1668898826.459536000	2462	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	882		ff:ff:ff:ff:ff:ff
1668898826.462167000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	883		ff:ff:ff:ff:ff:ff
1668898826.462187000	2462	-59	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	883		ff:ff:ff:ff:ff:ff
1668898826.503466000	2462	-51	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	884		ff:ff:ff:ff:ff:ff
1668898826.505543000	2437	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	885		ff:ff:ff:ff:ff:ff
1668898826.505563000	2462	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	885		ff:ff:ff:ff:ff:ff
1668898826.547508000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	886		ff:ff:ff:ff:ff:ff
1668898826.591496000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	888		ff:ff:ff:ff:ff:ff
1668898826.591516000	2462	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	888		ff:ff:ff:ff:ff:ff
1668898826.593535000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	889		ff:ff:ff:ff:ff:ff
1668898826.635539000	2437	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	890		ff:ff:ff:ff:ff:ff
1668898826.635559000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	890		ff:ff:ff:ff:ff:ff
1668898826.637664000	2437	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	891		ff:ff:ff:ff:ff:ff
1668898826.637684000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	891		ff:ff:ff:ff:ff:ff
1668898826.643312000	2437	-93	ce:cb:35:76:8c:c9	ff:ff:ff:ff:ff:ff	2120		ff:ff:ff:ff:ff:ff
1668898826.679514000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	892		ff:ff:ff:ff:ff:ff
1668898826.682218000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	893		ff:ff:ff:ff:ff:ff
1668898826.744011000	2412	-86	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	894		ff:ff:ff:ff:ff:ff
1668898826.746279000	2412	-86	b2:87:66:6f:24:91	ff:ff:ff:ff:ff:ff	895		ff:ff:ff:ff:ff:ff
1668898827.862213000	2412	-87	14:f6:d8:bd:10:46	ff:ff:ff:ff:ff:ff	3081		ff:ff:ff:ff:ff:ff
1668898828.087594000	2437	-83	14:f6:d8:bd:10:46	ff:ff:ff:ff:ff:ff	3086		ff:ff:ff:ff:ff:ff
1668898828.149340000	2437	-85	14:f6:d8:bd:10:46	ff:ff:ff:ff:ff:ff	3087		ff:ff:ff:ff:ff:ff
1668898828.370130000	2462	-92	14:f6:d8:bd:10:46	ff:ff:ff:ff:ff:ff	3092		ff:ff:ff:ff:ff:ff
1668898828.492167000	2412	-34	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2004	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668898828.493565000	2412	-36	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2005	5099251212	ff:ff:ff:ff:ff:ff
1668898828.495817000	2412	-34	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2006		ff:ff:ff:ff:ff:ff
1668898828.531428000	2412	-36	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2007	BELL_WIFI	ff:ff:ff:ff:ff:ff
1668898828.532890000	2412	-36	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2008	5099251212	ff:ff:ff:ff:ff:ff
1668898828.534320000	2412	-36	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2009		ff:ff:ff:ff:ff:ff
1668898828.574537000	2412	-38	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2011	5099251212	ff:ff:ff:ff:ff:ff
1668898828.614537000	2412	-37	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2014	5099251212	ff:ff:ff:ff:ff:ff
1668898828.615890000	2412	-37	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2015		ff:ff:ff:ff:ff:ff
1668898828.656140000	2412	-47	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2017	5099251212	ff:ff:ff:ff:ff:ff
1668898828.657616000	2412	-47	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2018		ff:ff:ff:ff:ff:ff
1668898828.697895000	2437	-37	ea:ca:8b:61:38:24	ff:57:c9:ed:fd:f6	4055	�J+$���\b-�H`l�):�H����\b�(g:��:��u��\t@$� ��*�\t@	ff:77:fb:ff:df:ed
1668898828.777018000	2437	-33	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	2025	BELL_WIFI	ff:ff:ff:ff:ff:ff
