1668852026.354211000	2412	-78	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2172		ff:ff:ff:ff:ff:ff
1668852026.354231000	2437	-31	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2172		ff:ff:ff:ff:ff:ff
1668852026.356170000	2412	-78	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2173		ff:ff:ff:ff:ff:ff
1668852026.356190000	2437	-31	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2173		ff:ff:ff:ff:ff:ff
1668852026.418635000	2412	-79	a8:86:60:1a:71:dd	ff:ff:ff:ff:ff:ff	3886		fe:91:c6:1b:10:47
1668852026.420642000	2462	-68	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2175		ff:ff:ff:ff:ff:ff
1668852026.420662000	2412	-79	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2175		ff:ff:ff:ff:ff:ff
1668852026.485038000	2462	-44	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2177		ff:ff:ff:ff:ff:ff
1668852026.547338000	2462	-34	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2178		ff:ff:ff:ff:ff:ff
1668852026.549541000	2462	-34	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2179		ff:ff:ff:ff:ff:ff
1668852026.611690000	2412	-83	e0:86:60:da:7d:7b	ff:ff:ff:ff:ff:7f	2180		ff:ff:ff:ff:ff:ff
1668852026.611709000	2462	-31	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2180		ff:ff:ff:ff:ff:ff
1668852026.614286000	2462	-31	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2181		ff:ff:ff:ff:ff:ff
1668852029.152702000	2412	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1466		ff:ff:ff:ff:ff:ff
1668852029.152723000	2437	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1466		ff:ff:ff:ff:ff:ff
1668852029.152738000	2462	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1466		ff:ff:ff:ff:ff:ff
1668852029.155254000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1467		ff:ff:ff:ff:ff:ff
1668852029.155273000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1467		ff:ff:ff:ff:ff:ff
1668852029.155288000	2462	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1467		ff:ff:ff:ff:ff:ff
1668852029.196310000	2412	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1468		ff:ff:ff:ff:ff:ff
1668852029.196330000	2437	-59	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1468		ff:ff:ff:ff:ff:ff
1668852029.196345000	2462	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1468		ff:ff:ff:ff:ff:ff
1668852029.198404000	2412	-41	50:cc:66:49:03:dd	7f:37:f1:ff:bf:3b	309		a1:f6:ff:dd:fe:dd
1668852029.198424000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1469		ff:ff:ff:ff:ff:ff
1668852029.198440000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1469		ff:ff:ff:ff:ff:ff
1668852029.240349000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1470		ff:ff:ff:ff:ff:ff
1668852029.242628000	2437	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1471		ff:ff:ff:ff:ff:ff
1668852029.242648000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1471		ff:ff:ff:ff:ff:ff
1668852029.284251000	2412	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1472		ff:ff:ff:ff:ff:ff
1668852029.284271000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1472		ff:ff:ff:ff:ff:ff
1668852029.286303000	2412	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1473		ff:ff:ff:ff:ff:ff
1668852029.286323000	2437	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1473		ff:ff:ff:ff:ff:ff
1668852029.286338000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1473		ff:ff:ff:ff:ff:ff
1668852029.299213000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1474		ff:ff:ff:ff:ff:ff
1668852029.299233000	2412	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1474		ff:ff:ff:ff:ff:ff
1668852029.299249000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1474		ff:ff:ff:ff:ff:ff
1668852029.301279000	2412	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1475		ff:ff:ff:ff:ff:ff
1668852029.301299000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1475		ff:ff:ff:ff:ff:ff
1668852029.301314000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1475		ff:ff:ff:ff:ff:ff
1668852029.342931000	2412	-69	b6:a1:66:09:27:91	ff:ff:ff:ff:ff:ff	1476	\b	9b:ef:ff:ff:ff:ff
1668852029.342950000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1476		ff:ff:ff:ff:ff:ff
1668852029.342966000	2462	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1476		ff:ff:ff:ff:ff:ff
1668852029.345077000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1477		ff:ff:ff:ff:ff:ff
1668852029.345096000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1477		ff:ff:ff:ff:ff:ff
1668852029.386902000	2412	-78	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1478		ff:ff:ff:ff:ff:ff
1668852029.386922000	2437	-35	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1478		ff:ff:ff:ff:ff:ff
1668852029.389078000	2437	-35	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1479		ff:ff:ff:ff:ff:ff
1668852029.389098000	2462	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1479		ff:ff:ff:ff:ff:ff
1668852029.430978000	2462	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1480		ff:ff:ff:ff:ff:ff
1668852029.474933000	2437	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1482		ff:ff:ff:ff:ff:ff
1668852029.474953000	2462	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1482		ff:ff:ff:ff:ff:ff
1668852029.477022000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1483		ff:ff:ff:ff:ff:ff
1668852029.519002000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1484		ff:ff:ff:ff:ff:ff
1668852029.519022000	2462	-80	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1484		ff:ff:ff:ff:ff:ff
1668852029.521184000	2437	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1485		ff:ff:ff:ff:ff:ff
